,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
361,2,1.0,1.0,1.0,80.0,3,31,24
7578,2,0.0,1.0,2.0,69.0,3,1125,13
6865,2,0.0,1.0,1.0,60.0,1,9,1
1945,2,0.0,0.5,1.0,57.0,2,30,34
7935,4,1.0,1.0,2.0,72.0,7,7,0
3016,2,1.0,1.0,1.0,78.0,2,11,47
2299,4,1.0,1.0,2.0,70.0,1,1125,134
501,2,1.0,1.0,1.0,60.0,2,45,19
7252,4,1.0,1.0,3.0,92.0,6,60,73
2743,2,1.0,1.0,1.0,59.0,2,5,17
4599,2,1.0,1.0,1.0,88.0,5,15,22
6129,5,1.0,1.0,3.0,79.0,3,1125,23
3474,4,2.0,2.0,2.0,390.0,1,1125,53
2786,2,1.0,1.0,1.0,399.0,3,45,61
2055,4,1.0,1.0,2.0,190.0,3,365,6
2333,2,1.0,1.0,1.0,77.0,5,1125,0
4883,3,1.0,1.0,2.0,110.0,4,1125,19
1950,4,2.0,1.0,3.0,99.0,3,28,70
7541,1,0.0,1.0,1.0,35.0,6,1125,15
3519,4,2.0,2.0,2.0,169.0,92,92,0
715,2,1.0,1.0,1.0,125.0,4,1125,112
4577,3,1.0,1.0,3.0,70.0,2,30,82
3916,2,1.0,1.0,0.0,60.0,3,21,244
6363,2,1.0,1.0,2.0,90.0,2,1125,15
4864,1,1.0,1.0,1.0,72.0,2,12,62
2015,6,2.0,1.0,4.0,215.0,3,25,47
660,2,1.0,1.0,2.0,79.0,60,1125,59
7246,2,1.0,1.5,1.0,259.0,10,31,20
6959,2,1.0,1.0,1.0,120.0,30,305,12
7684,4,2.0,1.0,2.0,150.0,7,1125,56
6023,2,1.0,1.0,1.0,60.0,22,1125,1
810,7,5.0,2.0,5.0,741.0,4,30,84
409,4,2.0,1.5,2.0,190.0,5,365,1
3093,2,1.0,1.0,1.0,90.0,2,15,19
5425,4,2.0,1.0,2.0,200.0,1,1125,18
2565,2,1.0,1.0,0.0,175.0,6,45,32
22,4,2.0,1.0,2.0,105.0,2,20,59
699,2,1.0,1.0,1.0,120.0,3,14,52
5477,4,0.0,1.0,1.0,130.0,2,60,103
5665,1,1.0,0.5,1.0,30.0,30,365,0
423,4,1.0,1.5,0.0,58.0,20,40,77
436,4,1.0,1.0,1.0,92.0,3,365,86
1701,2,1.0,1.0,1.0,69.0,2,90,4
1292,4,2.0,1.0,1.0,70.0,250,360,12
4368,4,1.0,1.0,2.0,60.0,4,365,16
7111,2,1.0,1.0,1.0,89.0,4,30,267
568,2,1.0,1.0,1.0,57.0,2,10,400
